state_ut,households_surveyed_total,Electricity_Access_total,households_clean_fuel_pct_total,female_literacy_pct_total,male_literacy_pct_total,female_schooling_pct_total,male_schooling_pct_total,Women_Internet_pct_total,Men_Internet_pct_total,women_bank_account_pct_total,Women_Mobile_Ownership_pct_total,women_household_decisions_pct_total,households_surveyed_rural,Electricity_Access_rural,households_clean_fuel_pct_rural,female_literacy_pct_rural,male_literacy_pct_rural,female_schooling_pct_rural,male_schooling_pct_rural,Women_Internet_pct_rural,Men_Internet_pct_rural,women_bank_account_pct_rural,Women_Mobile_Ownership_pct_rural,women_household_decisions_pct_rural,households_surveyed_urban,Electricity_Access_urban,households_clean_fuel_pct_urban,female_literacy_pct_urban,male_literacy_pct_urban,female_schooling_pct_urban,male_schooling_pct_urban,Women_Internet_pct_urban,Men_Internet_pct_urban,women_bank_account_pct_urban,Women_Mobile_Ownership_pct_urban,women_household_decisions_pct_urban,gpi_internet,internet_to_mobile_conversion,finance_to_digital_conversion
Andaman & Nicobar Islands,2624,97.6,79.8,86.0,92.5,52.5,52.3,34.8,46.5,89.2,80.8,94.5,2097,96.5,71.0,85.6,94.7,47.6,47.7,27.9,41.1,89.8,80.9,95.5,527,99.5,95.6,86.6,89.3,59.7,59.4,44.1,54.6,88.5,80.8,93.0,0.7483870967741935,43.06930693069307,110.3960396039604
Andhra Pradesh,11346,99.5,83.6,68.6,79.5,39.6,47.9,21.0,48.8,81.8,48.9,84.1,8154,99.4,77.9,63.8,76.3,34.3,42.5,15.4,41.5,79.6,40.9,84.3,3192,99.6,96.6,79.0,86.4,51.2,59.5,33.9,65.1,86.7,67.4,83.4,0.43032786885245905,42.944785276073624,167.280163599182
Arunachal Pradesh,18268,94.8,53.2,73.8,86.7,39.4,48.2,52.9,71.6,78.2,76.4,87.0,14554,94.0,46.3,71.6,85.6,36.2,45.0,49.6,68.5,76.7,75.3,86.6,3714,99.5,90.2,84.7,92.1,55.4,64.1,70.0,86.9,86.0,81.9,89.2,0.7388268156424581,69.24083769633506,102.35602094240836
Assam,30119,92.6,42.1,77.2,84.3,29.6,35.5,28.2,42.3,78.5,57.2,92.1,26131,91.5,33.7,75.4,82.8,26.2,32.2,24.4,37.8,77.9,53.9,91.8,3988,99.0,85.5,87.5,92.6,49.0,53.2,49.0,67.4,81.9,75.4,93.9,0.6666666666666667,49.3006993006993,137.23776223776224
Bihar,35834,96.3,37.8,57.8,78.5,28.8,42.8,20.6,43.6,76.7,51.4,86.5,32045,96.3,30.3,54.5,77.0,25.2,38.9,17.0,39.4,76.2,49.3,87.0,3789,96.2,78.6,74.9,84.0,48.0,57.1,38.4,58.4,79.1,61.8,84.0,0.4724770642201835,40.07782101167315,149.22178988326849
Chandigarh,761,99.9,95.8,83.0,94.8,59.6,64.5,75.2,91.9,87.1,70.0,94.6,21,100.0,,69.2,,30.8,,,,,,,740,99.9,95.8,83.1,94.8,59.9,64.5,75.2,91.9,87.1,70.0,94.6,0.8182807399347116,107.42857142857143,124.42857142857142
Chhattisgarh,24550,98.8,33.0,74.6,87.3,36.9,41.5,26.7,56.3,80.3,40.7,92.7,20032,98.6,19.2,71.3,86.3,32.1,38.1,20.8,50.4,81.1,33.9,91.5,4518,99.5,80.2,85.3,90.3,52.4,52.2,44.5,75.4,77.9,61.2,96.5,0.47424511545293074,65.60196560196559,197.2972972972973
Dadra and Nagar Haveli & Daman and Diu,2676,99.7,79.9,77.3,93.4,35.8,49.4,36.7,68.3,83.6,60.5,91.9,1134,99.5,62.6,67.9,91.6,24.2,40.7,23.8,61.3,89.3,45.5,87.4,1542,99.9,95.2,87.7,95.4,48.6,58.8,49.4,76.2,78.0,75.4,95.7,0.5373352855051245,60.66115702479339,138.1818181818182
Goa,1856,100.0,96.5,93.0,96.3,71.5,76.6,73.7,82.9,88.3,91.2,93.1,713,100.0,93.1,93.4,98.5,69.3,79.4,68.3,76.6,92.4,87.1,98.6,1143,100.0,98.8,92.6,94.9,73.0,75.0,78.1,86.1,85.1,94.5,89.3,0.8890229191797346,80.81140350877193,96.8201754385965
Gujarat,29368,97.6,66.9,76.5,90.9,33.8,45.6,30.8,58.9,70.0,48.8,92.2,20136,96.2,46.1,69.0,87.5,23.6,36.9,17.5,48.0,67.5,36.2,90.7,9232,99.4,94.3,86.8,95.4,47.9,56.9,48.9,72.9,73.5,66.0,94.4,0.5229202037351444,63.114754098360656,143.4426229508197
