date,Urban,Rural,Urban_Wireless,Rural_Wireless,Urban_Wireline,Rural_Wireline,Total(million),rural_share,urban_share,total_wireless,total_wireline
2015-01-01,575.05,404.16,553.45,398.89,21.6,5.27,979.21,41.274088295666914,58.72591170433308,952.34,26.87
2015-02-01,578.75,408.55,557.27,403.31,21.48,5.24,987.3,41.38053276612985,58.61946723387015,960.5799999999999,26.72
2015-03-01,577.18,419.31,555.71,414.18,21.47,5.12,996.49,42.07869622374535,57.92130377625465,969.8900000000001,26.59
2015-04-01,580.13,419.58,558.78,414.57,21.36,5.01,999.71,41.97017134969141,58.02982865030859,973.3499999999999,26.369999999999997
2015-05-01,580.15,421.9,558.83,416.95,21.32,4.95,1002.05,42.10368744074647,57.89631255925352,975.78,26.27
2015-07-01,588.53,420.78,567.29,415.92,21.24,4.86,1009.31,41.68986733511012,58.31013266488988,983.21,26.099999999999998
2015-08-01,591.52,423.18,570.33,418.36,21.2,4.82,1014.7,41.70493741992707,58.29506258007292,988.69,26.02
2015-09-01,599.01,423.61,577.82,418.84,21.18,4.77,1022.61,41.424394441673755,58.5765834482354,996.6600000000001,25.95
2015-10-01,599.25,430.09,578.11,425.38,21.14,4.71,1029.34,41.78308430644879,58.21691569355121,1003.49,25.85
2015-11-01,598.92,436.26,577.84,431.61,21.08,4.64,1035.18,42.143395351533066,57.85660464846693,1009.45,25.72
2015-12-01,600.66,435.75,579.67,431.22,20.99,4.53,1036.41,42.04417170810779,57.955828291892196,1010.89,25.52
2016-01-01,603.85,439.43,582.95,435.02,20.9,4.42,1043.29,42.119640751852316,57.879400741883856,1017.97,25.32
2016-02-01,608.42,443.46,587.55,439.11,20.87,4.34,1051.88,42.15880138418831,57.841198615811685,1026.6599999999999,25.21
2016-03-01,609.69,449.17,588.79,444.84,20.9,4.32,1058.86,42.42014997261206,57.579850027387955,1033.6299999999999,25.22
2016-04-01,607.21,452.08,586.41,447.84,20.8,4.23,1059.29,42.67764257191137,57.32235742808863,1034.25,25.03
2016-05-01,604.98,453.05,584.25,448.9,20.73,4.15,1058.03,42.820146876742626,57.179853123257374,1033.15,24.880000000000003
2016-06-01,609.45,450.41,588.78,446.33,20.66,4.08,1059.86,42.49712226143076,57.50287773856926,1035.11,24.740000000000002
2016-07-01,610.22,448.63,589.61,444.63,20.61,4.0,1058.85,42.369551872314304,57.63044812768571,1034.24,24.61
2016-08-01,606.46,446.94,585.89,442.99,20.57,3.94,1053.4,42.428327321055626,57.571672678944374,1028.88,24.51
2016-09-01,624.38,449.86,603.8,445.94,20.57,3.92,1074.24,41.87704795948764,58.12295204051237,1049.74,24.490000000000002
2016-10-01,642.37,460.57,621.77,456.66,20.61,3.91,1102.94,41.75839120895062,58.24160879104937,1078.43,24.52
2016-11-01,659.03,464.93,638.46,461.05,20.57,3.88,1123.96,41.36535108010961,58.63464891989039,1099.51,24.45
2016-12-01,683.14,468.64,662.6,464.78,20.55,3.86,1151.78,40.68832589557033,59.31167410442967,1127.38,24.41
2017-01-01,681.15,493.65,660.63,489.82,20.51,3.83,1174.8,42.01991828396323,57.98008171603677,1150.45,24.340000000000003
