sr.no,telecom_circle,rural_exchanges,connection_provided
1.0,Andaman & Nicobar,45.0,405.0
2.0,Andhra Pradesh/ Telangana,2665.0,59647.0
3.0,Assam,429.0,5067.0
4.0,Bihar,1000.0,6817.0
5.0,Chhattisgarh,449.0,6743.0
6.0,Chennai,123.0,5230.0
7.0,Gujarat,1988.0,34315.0
8.0,Haryana,805.0,21012.0
9.0,Himachal Pradesh,811.0,8188.0
10.0,Jammu & Kashmir,209.0,3057.0
11.0,Jharkhand,291.0,3872.0
12.0,Karnataka,2217.0,20464.0
13.0,Kerala,1143.0,228741.0
14.0,Madhya Pradesh,1982.0,25216.0
15.0,Maharashtra,4353.0,44200.0
