date,Urban,Rural,Urban_Wireless,Rural_Wireless,Urban_Wireline,Rural_Wireline,Total(million)
2015-01-01,575.05,404.16,553.45,398.89,21.6,5.27,979.21
2015-02-01,578.75,408.55,557.27,403.31,21.48,5.24,987.3
2015-03-01,577.18,419.31,555.71,414.18,21.47,5.12,996.49
2015-04-01,580.13,419.58,558.78,414.57,21.36,5.01,999.71
2015-05-01,580.15,421.9,558.83,416.95,21.32,4.95,1002.05
2015-07-01,588.53,420.78,567.29,415.92,21.24,4.86,1009.31
2015-08-01,591.52,423.18,570.33,418.36,21.2,4.82,1014.7
2015-09-01,599.01,423.61,577.82,418.84,21.18,4.77,1022.61
2015-10-01,599.25,430.09,578.11,425.38,21.14,4.71,1029.34
2015-11-01,598.92,436.26,577.84,431.61,21.08,4.64,1035.18
2015-12-01,600.66,435.75,579.67,431.22,20.99,4.53,1036.41
2016-01-01,603.85,439.43,582.95,435.02,20.9,4.42,1043.29
2016-02-01,608.42,443.46,587.55,439.11,20.87,4.34,1051.88
2016-03-01,609.69,449.17,588.79,444.84,20.9,4.32,1058.86
2016-04-01,607.21,452.08,586.41,447.84,20.8,4.23,1059.29
2016-05-01,604.98,453.05,584.25,448.9,20.73,4.15,1058.03
2016-06-01,609.45,450.41,588.78,446.33,20.66,4.08,1059.86
2016-07-01,610.22,448.63,589.61,444.63,20.61,4.0,1058.85
2016-08-01,606.46,446.94,585.89,442.99,20.57,3.94,1053.4
2016-09-01,624.38,449.86,603.8,445.94,20.57,3.92,1074.24
2016-10-01,642.37,460.57,621.77,456.66,20.61,3.91,1102.94
2016-11-01,659.03,464.93,638.46,461.05,20.57,3.88,1123.96
2016-12-01,683.14,468.64,662.6,464.78,20.55,3.86,1151.78
2017-01-01,681.15,493.65,660.63,489.82,20.51,3.83,1174.8
2017-02-01,692.15,496.39,671.63,492.57,20.52,3.83,1188.55
2017-03-01,692.97,501.61,672.42,497.76,20.56,3.85,1194.58
2017-04-01,695.99,502.9,675.48,499.12,20.52,3.78,1198.89
2017-05-01,697.06,507.92,676.65,504.18,20.41,3.74,1204.98
2017-06-01,700.96,509.88,680.66,506.18,20.31,3.69,1210.84
2017-07-01,702.97,507.74,682.69,504.1,20.28,3.63,1210.71
2017-08-01,707.33,502.28,687.14,498.7,20.19,3.58,1209.61
2017-09-01,704.89,501.82,684.77,498.28,20.12,3.55,1206.71
2017-10-01,697.54,504.19,677.52,500.68,20.02,3.51,1201.72
2017-11-01,684.89,500.99,664.94,497.53,19.95,3.47,1185.88
2017-12-01,688.25,502.42,668.44,499.0,19.81,3.42,1190.67
2018-01-01,672.54,502.47,652.85,499.09,19.69,3.38,1175.01
2018-02-01,669.63,510.2,650.03,506.84,19.6,3.37,1179.83
2018-03-01,681.61,524.61,662.18,521.23,19.43,3.38,1206.22
2018-04-01,643.87,503.84,624.52,500.55,19.34,3.3,1147.71
2018-05-01,644.9,508.61,625.66,505.34,19.24,3.27,1153.51
2018-06-01,652.76,516.13,633.6,512.89,19.16,3.24,1168.89
